country,tert_b_grad_rate,tert_a_grad_rate,year,education_spending,ancillary_spending,rd_spending,total_spending,partner_country,tert_percent_gdp,tert_a_percent_gdp,tert_b_percent_gdp,all_ed_percent_gdp,population,gdp_usd,gdp_usd_capita
Slovak Republic,0.023848855145554602,0.25233979088243197,2003,3871.6893244773,426.820537477595,379.573739772639,4678.08360172754,0,0.00930190160473395,0.00930190160473395,NA,0.0472541225578507,5378950,76121872000,14150.806452
Spain,0.156996658431612,0.321,2003,6563.40420313563,NA,2379.31835620145,8942.72255933708,0,0.0119154724232913,0.0101091768624688,0.0018062955608225,0.0470687937992441,42196231,1055547963000,25015.219073
Sweden,0.0395654073356507,0.35363369312979254,2003,8277.91487795569,NA,7794.89329777196,16072.8081757276,0,0.0178729639958803,NA,NA,0.0674260890708474,8958232,284711106000,31782.177947
Switzerland,0.186746553545842,0.21550568894731006,2003,14335.148653689,NA,11564.9327076562,25900.0813613452,0,0.016040000000000002,0.015600000000000001,NA,0.0653723174128215,7339002,284759572000,38511.974614
Turkey,NA,0.10516609339349593,2003,4248,NA,NA,NA,0,0.011070289227352502,NA,NA,0.0370657951721328,66794551,640401152000,9587.561223
United Kingdom,0.1377764352518,0.381917987940309,2003,9130.22495272441,NA,2735.37717977499,11865.6021324994,0,0.0113953466987572,NA,NA,0.0608839023141025,59636662,1808753062000,30329.377106
United States,0.0882466593870075,0.3291081105501238,2003,19537.5896359396,2028.4554561898,2507.81401325779,24073.8591053872,0,0.0285005410556117,NA,NA,0.0746279054969491,290107933,11456450000000,39419.907372
Israel,NA,0.312,2003,NA,NA,NA,11945,1,0.0196403693008625,0.0154932834408964,0.0041470858599661,0.084740061804957,6689700,159439250000,23747.635506
Australia,NA,0.46425340997135045,2004,9542.63894563451,707.290194846647,3785.71532377878,14035.6444642599,0,0.0162754360807917,0.014859883397326402,0.00141555268346525,0.0588786898236809,19932722,676662202000,33947.342915
Austria,0.071,0.1962854654146446,2004,9493.31115292866,101.995652540919,4363.88540207228,13959.1922075419,0,0.012191131698502899,0.0115194372961754,6.71694402327552e-4,0.0543750608253676,8169441.000000001,275769770000,33756.259412
Belgium,NA,NA,2004,7595.53871350401,324.28862209423,3921.73640011123,11841.5637357095,0,0.0124130496248123,NA,NA,0.0608862519393792,10421133,333856905000,32036.935514
Canada,NA,NA,2004,NA,NA,NA,NA,0,NA,NA,NA,NA,31940655,1083146524000,33911.218288
Czech Republic,0.048709167544784,0.1973402072470963,2004,5489.57297119841,221.654233180937,1040.87629770778,6752.10350208712,0,0.010699373620130499,0.0101770188345451,5.22354785585352e-4,0.0485010751296268,10206923,213269646000,20894.60712
Denmark,0.112388497085628,0.452998740868675,2004,11387.314068805,NA,3837.81494192834,15225.1290107333,0,0.018097061970544698,NA,NA,0.0717619316981415,5401177,177870417000,32920.676921
Finland,0.00815706105003349,0.47805153321665483,2004,7696.29856879887,NA,4807.52293550669,12504.7638523309,0,0.0178019699347918,0.017794495151405,NA,0.0607988585784174,5228173,162992940000,31175.727708
France,0.19314725503705302,0.26043572286429717,2004,6769.97985842799,601.658676700463,3296.21585255039,10667.8543876788,0,0.0134574628395077,0.010563706284433,0.00289375655507468,0.0614228279345638,62490800,1820723319000,29040.965294
Germany,0.10169970505103301,0.20622167790259824,2004,7132.25156091653,591.354186254361,4531.33189946899,12254.9376466399,0,0.0111373324660459,0.0103125750068727,8.2475745917325e-4,0.0517280957624722,82516268,2583409013000,31715.392519
